,sQuestion,lSolutions,Template,lEquations,iIndex,Alignment,Equiv
500,"One number is 6 more than another number . If you add 9 to 6 times the first number , the result is 7 times he second number .","[-33.0, -27.0]","['a * m - b * n = c', 'm - n = d']","['6*x + 9 = 7*y', 'y=x+6']",183547,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 3}, {'coeff': 'd', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 5}]",[]
501,In the year 2000 Donald was 12 and his father was 40 . In which year was Donald 's father 8 times as old as Donald ?,[8.0],['-1 * a * m + m = b - a * c'],['8 *( 12 - x ) = ( 40 - x )'],394149,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 6}]",[]
502,"If you multiply an unknown number by 6 and then add 5 , the result is 7 less than the unknown number plus 1 multiplied by 3 . Find the unknown number .",[-3.0],['a * m - b * m = b * c - d - e'],['6*x+5=((x+1)*3)-7'],896492,"[{'coeff': 'd', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 26}, {'coeff': 'c', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 23}, {'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'e', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 16}]",[]
503,Cary is 9 years older than Dan . In 7 years their ages 93 . Find the ages of each man now .,"[35.0, 44.0]","['m + n = a - b - b', 'n - m = c']","['(x+7)+(y+7)=93', 'y=x+9']",278344,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 93.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 2}]",[]
504,A 20 % alcohol solution is mixed with a 35 % alcohol solution to obtain 60 fluid ounces of 25 % alcohol solution . How many fluid ounces of each are needed ?,"[20.0, 40.0]","['a * m + b * n = c * d', 'm + n = c']","['(0.01*35)*x+(0.01*20)*y=(0.01*25*60)', 'y=(60-x)']",394530,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 0, 'Value': 35.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 60.0, 'TokenId': 15}, {'coeff': 'd', 'SentenceId': 0, 'Value': 25.0, 'TokenId': 19}]",[]
505,"Yoshi is 12 years older than his sister . Six years from now , the sum of their age will be 32 . Find Yoshi 's present age .","[4.0, 16.0]","['m + n = a - b - b', 'n - m = c']","['y=x+12', 'y+6+x+6=32']",384385,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 32.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 2}]",[]
506,"A child in an airport is able to cover 372 meters in 4 minutes running at a steady speed down a moving sidewalk in the direction of the sidewalk 's motion . Running at the same speed in the direction opposite to the sidewalk 's movement , the child is able to cover 165 meters in 3 minutes . What is the child 's running speed on a still sidewalk , and what is the speed of the moving sidewalk ?","[74.0, 19.0]","['a * m + a * n = b', 'c * m - c * n = d']","['372=4*(x+y)', '165=3*(x-y)']",80012,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 0, 'Value': 372.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 24}, {'coeff': 'd', 'SentenceId': 1, 'Value': 165.0, 'TokenId': 21}]",[]
507,George can do a certain job in 70 minutes while Abe can do the same job in 30 minutes . How long would it take the two workers to do the job if they work together ?,[21.0],['1 / a * m + 1 / b * m = 1'],['( 1 / 70 + 1 / 30 ) *x = 1'],268393,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 70.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 17}]",[]
508,"A larger number is 2 less than 5 times the smaller number . If the sum of these numbers is 94 , find the larger number .","[16.0, 78.0]","['a * m - n = b', 'm + n = c']","['y+x=94', 'y = 5*x - 2']",673170,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 1, 'Value': 94.0, 'TokenId': 7}]",[]
509,the sum of two numbers is 36 . one number is two more than the other find the numbers,"[12.0, 24.0]","['m + n = a', 'n - b * m = 0']","['x+y=36', '2*x = y']",394552,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 36.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 3}]",[]
510,A coffee merchant has coffee beans that sell for $ 9 per pound and $ 12 per pound . The two types are to be mixed to create 100 lb of a mixture that will sell for $ 11.25 per pound . How much of each type of bean should be used in the mixture ?,"[75.0, 25.0]","['a * m + b * n = c * d', 'm + n = c']","['12*x+9*y=11.25*(100)', 'y=(100-x)']",78642,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 15}, {'coeff': 'c', 'SentenceId': 1, 'Value': 100.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 1, 'Value': 11.25, 'TokenId': 19}]",[]
511,"a plane flies 900 miles with a tail wind , in 3 hours . It takes the same plane 4 hours to fly the 900 miles when flying against the wind . What is the planes speed in still air ?","[262.5, 37.5]","['a * m + a * n = b', 'c * m - c * n = d']","['3 *( x + y ) = 900', '4 *( x - y ) = 900']",151179,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 900.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 1, 'Value': 900.0, 'TokenId': 10}]",[]
512,"one number is greater than double another number by 15 . If their sum is 54 , find the smaller of the two numbers","[41.0, 13.0]","['m - a * n = b', 'm + n = c']","['x = 2*y + 15', 'x+y=54']",256673,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 1, 'Value': 54.0, 'TokenId': 4}]",[]
513,"At a Baseball game , one group of people purchased 10 hotdogs and 5 soft drinks at 12.50 ; a second group of people bought 7 hotdogs and 4 soft drinks at 9 dollars . what is the cost of the hotdog and soft drink ?","[0.5, 1.0]","['a * m + b * n = c', 'd * m + e * n = f']","['10*audio_cassettes+5*video_cassettes=12.5', '7*audio_cassettes+4*video_cassettes=9']",503463,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 0, 'Value': 12.5, 'TokenId': 17}, {'coeff': 'd', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 25}, {'coeff': 'e', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 28}, {'coeff': 'f', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 32}]",[]
514,Tickets for a basketball game cost $ 6.00 for adults and $ 3.00 for students . A total of 846 tickets that cost $ 3846.00 were sold . How many of each were sold ?,"[410.0, 436.0]","['a * m + b * n = c', 'm + n = d']","['student+general=846', '6*student+3*general=3846']",254293,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 1, 'Value': 3846.0, 'TokenId': 8}, {'coeff': 'd', 'SentenceId': 1, 'Value': 846.0, 'TokenId': 3}]",[]
515,"the difference between 2 numbers is 96 , one number is 9 times the other . what are the numbers ?","[108.0, 12.0]","['m - n = a', 'm - b * n = 0']","['x-y=96', 'x = 9*y']",105541,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 96.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 11}]",[]
516,one containing 40 % alcohol and another containing 70 % alcohol . How much of each should be used to obtain 80 liters of a 49 % solution ?,"[24.0, 56.0]","['a * m + b * n = c * d', 'm + n = c']","['two_dollars+three_dollars=80', '40*two_dollars+70*three_dollars=80*49']",235629,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 70.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 1, 'Value': 80.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 1, 'Value': 49.0, 'TokenId': 13}]",[]
517,A truck traveling 45 mph and a train traveling 60 mph cover the same distance . The trucks travels 2 hours longer than the train . How many does each travel ?,"[360.0, 6.0]","['a * m - b * m = b * c', 'n - a * m = 0']","['45*(y+2)=60*y', 'x=60*y']",14971,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 60.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 45.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 3}]",[]
518,Four times the lesser of two consecutive even integers is 12 less than twice the greater number . Find the integers .,"[-4.0, -2.0]","['a * m - b * n = c', 'm - n = d']","['y=x+2', '4*x=2*y-12']",356151,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 13}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 10}, {'coeff': 'd', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 7}]",[]
519,Barb buys a dress for 10 dollars less than half the price of the dress . She saves 80 dollars . What was the original cost of the dress ?,[180.0],['a * m = b + c'],['( 0.5 ) *x - 10 = 80'],855236,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 0.5, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 1, 'Value': 80.0, 'TokenId': 2}]",[]
520,two baseball players hit 79 home runs combined last season . the first player hit 7 more home runs than twice the number of home runs hit by the second player . how many home runs did each player hit ?,"[24.0, 55.0]","['m - a * n = b', 'm + n = c']","['y=2*x+7', 'x+y=79']",356152,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 79.0, 'TokenId': 4}]",[]
521,"Adriana 's 18-kilometer boat trip downriver took two hours , but the return trip back upstream took three hours . Figure the speed of the boat in still water and the speed of the current of the river .","[7.5, 1.5]","['a * m + a * n = b', 'c * m - c * n = b']","['18=2*(x+y)', '18=3*(x-y)']",195539,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 18.0, 'TokenId': 2}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 17}]",[]
522,A man runs to a telephone and back in 15 minutes . His speed on the way to the telephone is 5 m/s and his speed on the way back is 4 m/s . Find the distance to the telephone .,[33.3333333333],['1 / a * m + 1 / b * m = c'],['(1/5)*x+(1/4)*x=15'],424363,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 19}, {'coeff': 'c', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 9}]",[]
523,"The first fellow could finish 7 jobs in 3 hours , and the second fellow could finish 8 jobs in 5 hours . How long would they have to work together to finish 59 jobs ?",[15.0],['a / b * m + c / d * m = e'],['(7/3+8/5)*x=59'],515152,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 17}, {'coeff': 'd', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 20}, {'coeff': 'e', 'SentenceId': 1, 'Value': 59.0, 'TokenId': 10}]",[]
524,"You are the manager of a theater . On saturday morning you are going over the ticket sales for Friday evening . A total 750 tickets were sold . the tickets for adults and children sold for $ 7.50 and $ 4.00 , respectively , and the receipts for the performance were $ 3808.50 . however , your assistant manager did not record how many of each type of tickets were sold . From the information you have , can you determine how many of each type were so","[519.0, 231.0]","['a * m + b * n = c', 'm + n = d']","['student+general=750', '7.5*student+4*general=3808.5']",758338,"[{'coeff': 'a', 'SentenceId': 3, 'Value': 7.5, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 3, 'Value': 4.0, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 3, 'Value': 3808.5, 'TokenId': 24}, {'coeff': 'd', 'SentenceId': 2, 'Value': 750.0, 'TokenId': 2}]",[]
525,"The sum of the digits of a two-digit number is 14 . If 36 is subtracted from the number , the resulting number is the original number with its digits interchanged . Find the original number .","[9.0, 5.0]","['10 * m + n - 10 * n - m = -1 * a', 'n + m = b']","['x+y=14', '10*x+y-36=10*y+x']",558275,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 36.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 10}]",[]
526,Mike can paint a room in 14 hours Bob could paint the same room in 10 hours . If they work together how long would it take them to complete job .,[5.83333333333],['1 / a * m + 1 / b * m = 1'],['( 1 / 14 + 1 / 10 ) *x = 1'],598786,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 15}]",[]
527,"A bookstore sold 85 calculators , generating $ 3,875 in sales . Two kinds of calculators were sold at $ 15 and $ 67 . How many of each were sold ?","[35.0, 50.0]","['a * m + b * n = c', 'm + n = d']","['15*x+67*(y)=3875', 'x+y=85']",704837,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 15.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 67.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3875.0, 'TokenId': 8}, {'coeff': 'd', 'SentenceId': 0, 'Value': 85.0, 'TokenId': 3}]",[]
528,"An airplane travels 900 miles from Housten to Miami in 6 hours against the wind . On it 's return trip , with the wind , it takes only 5 hours . Find the rate of the airplane with no wind . Find the rate of the wind .","[165.0, 15.0]","['a * m + a * n = b', 'c * m - c * n = b']","['5*speed_boat+5*speed_current=900', '6*speed_boat-6*speed_current=900']",837279,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 13}, {'coeff': 'b', 'SentenceId': 0, 'Value': 900.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 10}]",[]
529,A pharmacist has 40 % and 80 % of iodine solutions on hand . How many liters of each iodine solution will be required to produce 6 liters of a 50 % iodine mixture ?,"[4.5, 1.5]","['a * m + b * n = c * d', 'm + n = c']","['0.01*40*x+0.01*80*y=0.01*50*(6)', 'y=(6-x)']",353723,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 80.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 12}, {'coeff': 'd', 'SentenceId': 1, 'Value': 50.0, 'TokenId': 16}]",[]
530,Sally bought three choclate bars and a pack of gum and paid $ 1.75 . Jake bought two choclate bars and four packs of gum and paid $ 2.00 Find the cost of a choclate bar and the cost of the gum .,"[0.5, 0.25]","['a * m + b * n = c', 'd * m + e * n = f']","['3*x + 1*y = 1.75', '2*x + 4*y = 2.00']",125689,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 0, 'Value': 1.75, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 2}, {'coeff': 'e', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'f', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 13}]",[]
531,one number is eight more than twice another and their sum is 20 . what are their number ?,"[16.0, 4.0]","['m - a * n = b', 'm + n = c']","['x = 2*y + 8', 'x+y=20']",379388,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 12}]",[]
532,a number exceeds another by 14 and their sum is 70,"[28.0, 42.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=70', 'plane-tail_wind=14']",838926,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 70.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 5}]",[]
533,"A tank can hold eighteen litres of water . Tap A takes six minutes to fill the tank , Tap B takes three minutes to fill the tank . If the two taps are turned on at the same time , how long would they take to fill the tank ?",[2.0],['1 / a * m + 1 / b * m = 1'],['( 1 / 6 + 1 / 3 ) *x = 1'],624178,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 13}]",[]
534,the sum of numbers is 42 but then 6 times the first number exceeds 3 times the second number by 90 . find the number,"[24.0, 18.0]","['a * m - b * n = c', 'n + m = d']","['x+y=42', '6*x = 3*y + 90']",365895,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 0, 'Value': 90.0, 'TokenId': 20}, {'coeff': 'd', 'SentenceId': 0, 'Value': 42.0, 'TokenId': 5}]",[]
535,In 2 years Hanna will be twice as old as her little brother Lloyd . Hanna is 8 years old now . How old is Lloyd ?,[3.0],['a * m = b + c - a * c'],['8 + 2 = 2 *( x + 2 )'],434143,"[{'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 2}, {'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}]",[]
536,Two numbers have a sum of 22 . Their difference is 4 . what are the two numbers ?,"[9.0, 13.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=22', 'plane-tail_wind=4']",108337,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 22.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 3}]",[]
537,the sum of two numbers is 90 . three times the smaller is 10 more than the larger . find the larger number .,"[65.0, 25.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=90', '3*smaller-larger=10']",631993,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 0}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 0, 'Value': 90.0, 'TokenId': 6}]",[]
538,one number is 4 less than 3 times another . Their sum is 16 . Find the smaller,"[5.0, 11.0]","['a * m - n = b', 'm + n = c']","['y = 3*x - 4', 'x+y=16']",485518,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 16.0, 'TokenId': 3}]",[]
539,Find how many quarts of 4 % butterfat milk and 1 % butterfat milk should be mixed to yield 90 quarts of 3 % butterfat milk .,"[60.0, 30.0]","['a * m + b * n = c * d', 'm + n = c']","['(0.01*4)*x+(0.01*1)*y=(90*0.01*3)', 'x+y=90']",250511,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 90.0, 'TokenId': 19}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 22}]",[]
540,a number is twelve less than five times another number.their sum is one hundred sixty-two . what are the numbers,"[133.0, 29.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=162', '5*smaller-larger=12']",472097,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 0, 'Value': 162.0, 'TokenId': 12}]",[]
541,"One number is 3 less than another . If 4 times the smaller number minus 3 times the larger number is 4 , find the two numbers .","[13.0, 16.0]","['a * m - b * n = c', 'n - m = d']","['x=y-3', '4*x - 3*y = 4']",323053,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 7}]",[]
542,A pastry chef created a 50 ounce sugar solution that was 34 % sugar from a 20 % sugar solution and a 40 % sugar solution . How much of the 20 % sugar solution and how much of the 40 % sugar solution were used ?,"[15.0, 35.0]","['a * m + b * n = c * d', 'm + n = c']","['(.01*20)*x+(0.01*40)*y=(0.01*34*50)', 'y=(50-x)']",77641,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 16}, {'coeff': 'b', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 22}, {'coeff': 'c', 'SentenceId': 0, 'Value': 50.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 34.0, 'TokenId': 11}]","[[[0, 16, 20.0], [1, 4, 20.0]], [[1, 13, 40.0], [0, 22, 40.0]]]"
543,"Two cyclists leave a city at the same time , one going east and the other going west . The west-bound cyclist bikes 4 mph faster than the east-bound cyclist . After 5 hours they are 200 miles apart . How fast is the east-bound cyclist going ?","[22.0, 18.0]","['a * m + a * n = b', 'n - m = c']","['faster_car-slower_car=4', '5*slower_car+5*faster_car=200']",932280,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 5.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 2, 'Value': 200.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 4}]",[]
544,The sum of two numbers is 6 less than twice the first number . Their difference is 10 less than four times the second number .,"[10.0, 4.0]","['m + n - a * m = -1 * b', 'm - n - c * n = -1 * d']","['x + y = 2*x - 6', 'x - y = 4*y - 10']",127730,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 3}]",[]
545,"The ratio of boys and girls in a school is 3 to 2 . When 6 more girls join , this ratio becomes 6 to 5 . Then the number of boys in the school is ?","[24.0, 36.0]","['a * m - b * n = b * c', 'd * n - e * m = 0']","['3*x = 2*y', '6 *( x + 6 ) = 5*y']",802215,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 10}, {'coeff': 'e', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 12}]",[]
546,The larger of two numbers is 8 more than twice the smaller . The sum of the numbers is 10 less than three times the larger . Find the numbers .,"[4.0, -2.0]","['m + n - a * m = -1 * b', 'm - c * n = d']","['x=2*y+8', 'x+y=3*x-10']",370467,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 6}]",[]
547,Dorothy is 3 times as old as her sister . In 5 years she will be twice as old as her sister . How old are Dorothy and her sister now ?,"[5.0, 15.0]","['m - a * n = a * b - b', 'm - c * n = 0']","['d = 3*s', '( d + 5 ) = 2 *( s + 5 )']",3936,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 2}]",[]
548,Thirty-three pints of acid solution contain 3 pints of pure acid . Find the number of pints of pure acid that must be added to the 33 pints so that the resulting solution is 25 % pure acid .,[7.0],['m - 0.01 * a * m = 0.01 * a * b - c'],['3+x=0.01*25*(33+x)'],410834,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 25.0, 'TokenId': 22}, {'coeff': 'b', 'SentenceId': 0, 'Value': 33.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}]","[[[0, 0, 33.0], [1, 14, 33.0]]]"
549,"One number is 9 more than 3 times another . If their sum is 53 , what is the smaller number ?","[11.0, 42.0]","['m - a * n = b', 'm + n = c']","['x+y=53', 'y = 3*x + 9']",156027,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 53.0, 'TokenId': 4}]",[]
550,the sum of elisa 's age and elma 's age is 20 . elisa 's age one year from now will ten times elma 's age one year ago . how old is each now .,"[17.1818181818, 2.81818181818]","['m - a * n = -1 * a * b - c', 'm + n = d']","['x+y=20', 'x + 1 = 10 *( y - 1 )']",173116,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 11}]",[]
