,Question,Equation
441,Paul got a box of some crayons for his birthday. During the school year he gave w crayons to his friends while he lost x crayons. If he only had y crayons left How many crayons had been lost or given away?,( w + x )
442,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of grapes per day and y drums of raspberries per day. How many drums of grapes would be filled in z days?",( x * z )
443,Jake has w fewer peaches than Steven and x more peaches than Jill. Steven has y peaches. How many peaches does Jill have?,( ( y - w ) - x )
444,"w red peaches, x yellow peaches and y green peaches are in the basket. How many more green peaches than yellow peaches are in the basket?",( y - x )
445,A book has w chapters. Each chapter is x pages long. How many pages does the book have altogether?,( w * x )
446,Brenda's mother made cookies for guests. Each guest had w cookies. If she prepared a total of x cookies How many guests did she prepare cookies for?,( x / w )
447,Every day Ryan spends a total of w hours on learning english and chinese. If he spends x hours on learning english everyday How many hours does he spend on learning chinese?,( w - x )
448,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of raspberries per day and y drums of grapes per day. How many drums of grapes would be filled in z days?",( y * z )
449,Bobby ate w pieces of candy. Then he ate x more. He also ate y pieces of chocolate. How many more pieces of candy than chocolate did Bobby eat?,( ( w + x ) - y )
450,He then went to see the oranges being harvested. He found out that they harvested w sacks of oranges. How many days did it take to harvest them if they harvested x sacks of oranges per day?,( w / x )
451,A mailman has to give w pieces of junk mail to each block. If he gives x mails to each house in a block How many houses are there in a block?,( w / x )
452,A waiter had w customers. After some left he still had x customers. Then he got y new customers How many customers left?,( w - x )
453,Jake has w fewer peaches and x more apples than Steven. Steven has y apples and z peaches. How many more apples than peaches does Steven have?,( y - z )
454,Every day Ryan spends w hours on learning english and x hours on learning chinese. How many more hours does he spend on learning chinese than he does on learning english?,( x - w )
455,w birds and w6 storks were sitting on the fence. 6 more birds came to join them. How many birds are sitting on the fence?,( w + y )
456,Paco had w cookies. He ate some of them and had x cookies left. How many cookies did Paco eat?,( w - x )
457,Matthew had w crackers to give to friends. If Matthew gave x crackers to each his friends How many friends did he give crackers to?,( w / x )
458,w campers went rowing and x campers went hiking in the morning. y campers went rowing in the afternoon. How many campers went rowing and hiking in all?,( ( w + y ) + x )
459,Paco had w cookies. He ate x of them. Then he bought y more cookies How many more cookies did he buy than those he ate?,( y - x )
460,Zachary did w push-ups in gym class today. David did x more push-ups than Zachary. John did y push-ups less than david. How many push-ups did David do?,( w + x )
461,Mary is baking a cake. The recipe calls for w cups of flour x cups of sugar and y cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,( ( w - z ) - y )
462,There were w roses in the vase. Jessica threw away x roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now y roses in the vase. How many more roses did she cut than those she threw away?,( y - w )
463,Last week Fred had w dollars and Jason had x dollars. Fred washed cars over the weekend and now has y dollars. Jason delivered newspapers and now has z dollars. How much money did Jason earn by delivering newspapers?,( z - x )
464,Jake has w fewer peaches than Steven and x more peaches than Jill. Steven has y peaches. How many peaches does Jake have?,( y - w )
465,w campers went rowing on a day. x campers went rowing in the morning and some more campers went rowing in the afternoon. How many campers went rowing in the afternoon?,( w - x )
466,The ring toss game at the carnival made w dollars in the first x days and y dollars in the remaining z days. How much did they make in all?,( w + y )
467,A book has w chapters. The second chapter is x pages long. If there are a total of y pages in the book How many pages are in the first chapter?,( y - x )
468,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had w invitations in it and she bought x packs. If she wants to invite y friends How many extra invitations will she need to buy?,( y - ( w * x ) )
469,Zachary did w push-ups in gym class today. David did x more push-ups than Zachary. John did y push-ups less than David. How many more push-ups did Zachary do than John?,( x - y )
470,Ed had w more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has x more marbles than doug. How many marbles did Doug lose?,( x - w )
471,There are w skittles in Steven's skittles collection. Steven also has x erasers and y scales. If the skittles are organized into z groups How big is each group?,( w / z )
472,Rebecca wants to split a collection of eggs into groups of w. Rebecca has x marbles and y eggs. How many groups will be created?,( y / w )
473,Paul had w pens and x books. After selling some books and pens in a garage sale he had y books and z pens left. How many books did he sell in the garage sale?,( x - y )
474,Frank was reading through his favorite book. The book had w pages equally distributed over x chapters. It took Frank y days to finish the book. How many pages did he read per day?,( w / y )
475,There are w peaches distributed equally in some baskets. If each basket has x red peaches and y green peaches How many baskets of peaches are there?,( w / ( x + y ) )
476,Lewis earns $ w every week during the harvest. If he earns a total of $ x How many weeks did the harvest last?,( x / w )
477,Danny collects bottle caps. He threw away w of the old ones at the park while he found x bottle caps new ones. Now he has y bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,( w - x )
478,He then went to see the oranges being harvested. He found out that they harvest w sacks of ripe oranges and x sacks of unripe oranges per day. How many sacks of unripe oranges will they have after y days of harvest?,( x * y )
479,The grasshopper and the frog had a jumping contest. The grasshopper jumped w inches. The grasshopper jumped x inches farther than the frog. How much did they jump altogether?,( w + ( <w- x ) )
480,The Razorback shop makes $ w dollars off each t-shirt and $ x off each jersey. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much money did they make from selling the jerseys?,( x * z )
481,After resting they decided to go for a swim. The depth of the water is w times Ron's height. Dean is x feet shorter than Ron. If Ron stands at y feet How deep was the water?,( y * w )
482,There are w pots. Each pot has x flowers and y sticks in it. How many flowers and sticks are there in all?,( ( x + y ) * w )
483,Paul got a box of w crayons for his birthday. During the school year he gave x crayons to his friends while he lost y crayons. How many more crayons did he lose than those he gave to his friends?,( y - x )
484,In a school there are w girls and x boys. How many more girls than boys does the school have?,( w - x )
485,He then went to see the oranges being harvested. He found out that they harvest w sacks of unripe oranges and x sacks of ripe oranges per day. How many sacks of unripe oranges will they have after y days of harvest?,( w * y )
486,The Ferris wheel in paradise park has w seats. Each seat can hold x people. If there are y people on the wheel right now How many more people can join the wheel?,( ( w * x ) - y )
487,Debby bought w water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for x days How many bottles did she drink each day?,( w / x )
488,Robin has w packages of gum and x packages of candy. There are y pieces in each package. How many pieces of candies does Robin have?,( x * y )
489,After Olivia visited a supermarket there were w dollars left. If there were x dollars in her wallet initially How much did she spend?,( x - w )
490,Haley grew w trees in her backyard. After a typhoon x trees were left. How many trees died in the typhoon?,( w - x )
491,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many peaches does Jake have?,( y - w )
492,Lewis earns $ w every week during the x weeks of harvest. If he has to pay $ y rent every week How much money will have at the end of the harvest season?,( ( w - y ) * x )
493,Paul had w books and x pens. After selling some books and pens in a garage sale he had y books and z pens left. How many pens did he sell in the garage sale?,( x - z )
494,Zachary did w push-ups and x crunches in gym class today. David did y more push-ups but z less crunches than zachary. How many crunches did David do?,( x - z )
495,Paul had w pens and x books. After selling some books and pens in a garage sale he had y books and z pens left. How many pens did he sell in the garage sale?,( w - z )
496,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many more bottle caps than wrappers does danny have now?,( y - z )
497,Dan has $ w. He bought x candy bar for $ y each one costing the same amount of money. How much money is left?,( w - y )
498,w children were riding on the bus. At the bus stop x children got off the bus while some more got on the bus. Then there were y children altogether on the bus. How many more children got on the bus than those that got off?,( y - w )
499,Debby bought w soda bottles and x water bottles when they were on sale. If she drank y water bottles and z soda bottles a day How many days would the water bottles last?,( x / y )
500,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in some cups of flour. If she still needs y more cups of flour than sugar How many cups of flour did she put in?,( ( x - w ) - y )
501,Faye had w packs of pencils each one having x pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make?,( w * ( x / y ) )
502,Each Ferris wheel in paradise park has w seats. Each seat in a Ferris wheel can hold x people. How many people can ride y Ferris wheels at the same time?,( ( w * x ) * y )
503,Bobby had w pieces of candy. He ate x pieces of candy. How many pieces of candy does he still have left?,( w - x )
504,Bobby had w pieces of candy. He ate x pieces of candy. Then he ate y more. How many pieces of candy did Bobby eat?,( x + y )
505,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day and y visitors the day before that How many more visitors visited the Buckingham palace on that day than on the previous z days?",( w - ( x + y ) )
506,Paul had w books and x pens. After selling some books and pens in a garage sale he had y books and z pens left. How many books did he sell in the garage sale?,( w - y )
507,Marco and his dad went strawberry picking. Marco's dad's strawberries weighed w pounds. If together their strawberries weighed x pounds. How much did Marco's strawberries weigh?,( x - w )
508,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many kids did she play with on monday and wednesday?",( w + y )
509,Marco and his dad went strawberry picking. Marco's strawberries weighed w pounds. If together their strawberries weighed x pounds. How much did his dad's strawberries weigh?,( x - w )
510,Shirley sold w boxes of trefoils. How many boxes are in each case if she needs to deliver x cases of boxes?,( w / x )
511,Paul got a box of w crayons and x erasers for his birthday. At the end of the school year he only had y left while not having lost a single erasers. How many crayons had been lost or given away?,( w - y )
512,David did w more push-ups than Zachary in gym class today. If David did x push-ups How many push-ups did Zachary and David do altogether?,( ( x + <x) - w )
513,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many more wrappers than bottle caps does danny have now?,( z - y )
514,Tiffany was collecting cans for recycling. On monday she had w bags of cans. She found x bags of cans on the next day and y bags of cans the day after that. How many bags did she find after monday?,( x + y )
515,Faye was placing her pencils into rows with w pencils in each row. She had x packs of pencils each one having y pencils. How many rows could she make?,( x * ( y / w ) )
516,w birds and x storks were sitting on the fence. y more storks came to join them. How many more storks than birds are sitting on the fence?,( ( x + y ) - w )
517,Jessie weighed w kilograms. After she started to go jogging everyday she lost x kilograms in the first week and y kilograms in the second week. How much does she weigh now?,( ( w - x ) - y )
518,w packs of dvds can be bought with x dollars. How much does each pack cost?,( x / w )
519,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many more kids did she play with on monday than on wednesday?",( w - y )
520,"There were w parents, x pupils and y teachers in the program. How many people were present in the program?",( ( w + x ) + y )
521,At the stop w more people got on the train. Initially there were x people on the train. How many people are there on the train now?,( x + w )
522,Frank had w pieces of candy. He lost x of them. If he put the remaining pieces into bags with y pieces in each bag How many bags would he have?,( ( w - x ) / y )
523,Bryan took a look at his books as well. If he has w books distributed equally in x bookshelves How many books are there in each bookshelf?,( w / x )
524,A waiter had w customers. After some more arrived he had x customers. How many new customers arrived?,( x - w )
525,Brenda's mother made cookies for guests. If she prepared w cookies and each of them had x cookies How many guests did she prepare cookies for?,( w / x )
526,"They decided to hold the party in their backyard. They have some sets of tables, each having the w chairs. If there are a total of x chairs in the backyard How many sets of tables do they have?",( x / w )
527,Luke played a trivia game and scored w points. If he gained the x points in each round How many rounds did he play?,( w / x )
528,"Jack received w emails in the afternoon, x emails in the morning and some more in the evening. If he received a total of y emails in the day How many emails did jack receive in the evening?",( y - ( x + w ) )
529,There are w baskets of peaches. Each basket has x red peaches and y green peaches. How many peaches are in each basket?,( x + y )
530,The school is planning a field trip. The school has w classrooms. There are x students in the school and y seats on each school bus. If z students do n't want to go for the trip How many students are going on the trip?,( x - z )
531,Jesse's room is w feet long and x feet wide. If she already has y square feet of carpet How much more carpet does she need to cover the whole floor?,( ( w * x ) - y )
532,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many more peaches than apples does Steven have?,( y - z )
533,Danny collects bottle caps. He threw away w of the old ones at the park while he found x bottle caps new ones. Now he has y bottle caps in his collection. How many bottle caps did danny have at first?,( ( y + w ) - x )
534,Nell collects baseball cards. She had w cards. She gave x cards to John and yet some more to Jeff. Now she has y cards left. How many cards did Nell give to Jeff?,( ( w - x ) - y )
535,Next on his checklist is wax to stick the feathers together. If he currently has w g of wax and the feathers require a total of x g of wax How many more grams of wax does he need?,( x - w )
536,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. x bird families flew away for winter and y new bird families came to live near the mountain from the arctic. How many bird families were left near the mountain?,( ( w - x ) + y )
537,Steven has w peaches. Jake has x fewer peaches than Steven and y more peaches than Jill. How many peaches does Jake have?,( w - x )
538,Josh had some marbles in his collection. He lost w marbles. If he has x marbles now How many marbles did he have in his collection?,( w + x )
539,He had w aquariums for saltwater animals and x aquariums for freshwater animals. Each aquarium has y animals in it. How many animals does he have in total?,( ( w + x ) * y )
540,Jessie currently weighs w kilograms. After she started to go jogging everyday she lost x kilograms. How much did she weigh before starting to jog?,( w + x )
541,Dan has $ w left with him after he bought a candy bar for $ x. How much money did he have initially?,( w + x )
542,Zachary did w push-ups and x crunches in gym class today. David did y more push-ups but z less crunches than zachary. How many push-ups and crunches did Zachary do?,( w + x )
543,A book has w chapters. The first chapter is x pages long the second chapter is y pages long and the third chapter is z pages long. How many more pages does the first chapter have than the second chapter?,( x - y )
544,Danny collects bottle caps. He found w bottle caps at the park while he threw away x old ones. Now he has y bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away?,( w - x )
545,Dan has $ w. For a total of $ x he bought y candy bar each one costing the same amount of money. How much money is left?,( w - x )
546,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in 2 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,( ( x - y ) - w )
547,"At the zoo, a cage had w snakes and x alligators. If y snakes were hiding How many snakes were not hiding?",( w - y )
548,Emily is making bead necklaces for her friends. She was able to make w necklaces and she had x beads. How many beads did each necklace need?,( x / w )
549,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found x more bags of cans and y bags of bottles. How many bags of cans did she have altogether?,( w + x )
550,Robin has some packages of gum. There are w pieces in each package. Robin has x extra pieces of gum. In all the number of pieces of gums robin has is y. How many packages does Robin have?,( ( y - x ) / w )
551,Baker made w cakes. If his friend bought x cakes from him How many cakes would baker still have?,( w - x )
552,w children were riding on the bus. At the bus stop some more children got on the bus. Then there were x children altogether on the bus. How many more children are on the bus now than there were before the bus stop?,( x - w )
553,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many bottle caps did danny have at first?,( y - w )
554,For the walls of the house he would use w large planks of wood. If each plank of wood needs x pieces of nails to be secured How many planks does John need for the house wall?,8.0
555,Paco ate w cookies. If he had x cookies initially How many cookies did Paco have left?,( x - w )
556,Bobby had w pieces of candy. He ate x pieces of candy. Then he ate y more. How many pieces of candy does he still have left?,( w - ( x + y ) )
557,Baker made w cakes. He sold some of them. If he still has x cakes left How many cakes did baker sell?,( w - x )
558,During summer break w kids from Lawrence county go to camp and the other x kids stay home. How many more kids spent their summer break at the camp compared to those who stayed home?,( w - x )
559,Randy has w blocks. He uses x blocks to build a tower and y blocks to build a house. How many blocks are left?,( w - ( x + y ) )
560,"Every day Ryan spends w hours on learning english x hours on learning chinese and y hours on learning spanish. How many hours does he spend on learning english, chinese and spanish in all?",( ( w + x ) + y )
561,w birds were sitting on the fence. Some more birds came to join them. If there are a total of x birds on the fence now How many more birds had come to sit on the fence?,( x - w )
562,In a school there are w girls and the rest are boys. If there are x more boys than girls How many boys are there in that school?,( w + x )
563,Jesse's room is w feet long and x feet wide. How much longer is her room than it is wide?,( w - x )
564,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more books than movies are there in the ' crazy silly school ' series?,( w - x )
565,You had w bags with equal number of cookies. If you had x cookies and y candies in total How many bags of cookies do you have?,( x / w )
566,Jerry had w action figures and x books on a shelf in his room. Later he added y more action figures to the shelf. How many more books than action figures were on his shelf?,( x - ( w + y ) )
567,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in some cups of flour. If she still needs y more cups of flour How many cups of flour did she put in?,( x - y )
568,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many pages of math and reading homework did she have to complete?",( w + x )
569,Paige was helping her mom plant flowers in w flowerbeds. They planted x seeds altogether. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,( x / w )
570,He then went to see the oranges being harvested. He found out that they harvest w sacks of unripe oranges and x sacks of ripe oranges per day. How many sacks of ripe oranges will they have after y days of harvest?,( x * y )
571,Paul had w books. After giving x books to his friend and selling some books in a garage sale he had y books left. How many books did he sell in the garage sale?,( ( w - x ) - y )
572,Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. How many sweet cookies did Paco have left?,( x - y )
573,The school is planning a field trip. The school has w classrooms. x school buses are fully filled with y seats on each school bus. How many students are in the school?,( x * y )
574,Faye was placing her pencils and crayons into w rows with x crayons and y pencils in each row. How many pencils does she have?,( w * y )
575,Faye was placing w pencils equally into x rows. How many pencils did she place in each row?,( w / x )
576,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many more kids did she play with on monday and tuesday than on wednesday?",( ( w + x ) - y )
577,Baker made w cakes. If he sold x of them How many more cakes did baker make than those he sold?,( w - x )
578,There are w bananas in Philip's banana collection. If the bananas are organized into groups of size x How many groups are there?,( w / x )
579,Olivia spent w dollars at a supermarket. If there were x dollars in her wallet initially How much money does she have left?,( x - w )
580,Baker sold w cakes. If he had made x cakes initially How many cakes would baker still have?,( x - w )
581,Every day Ryan spends w hours on learning chinese and some more hours on learning english. If he spends x hours more on learning english than on learning chinese How many hours does he spend on learning english?,( w + x )
582,Rachel had to complete w pages of math homework. If she had to complete x more pages of math homework than reading homework How many pages did she have to complete in all?,( ( w + <w) - x )
583,Dan has $ w. He bought a chocolate for $ x and a candy bar for $ y. How much money did he spend to buy candy bar than he did to buy chocolate?,( y - x )
584,Jessie weighed w kilograms. After she started to go jogging everyday she lost x kilograms in the first week and y kilograms in the second week. How much did she weigh after the first week of jogging?,( w - x )
585,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many kids did she play with on tuesday and wednesday?",( x + y )
586,w children were riding on the bus. At the bus stop x children got off the bus while some more got on the bus. Then there were y children altogether on the bus. How many children got on the bus at the bus stop?,( ( y - w ) + x )
587,Baker made w cakes. Then he made x more cakes. He sold y of them. How many cakes would baker still have?,( ( w - y ) + x )
588,Paul got a box of some crayons for his birthday. By the end of the school year he only had w crayons left since he had either lost or given away x of them. How many crayons did he get for his birthday?,( x + w )
589,Jack received w emails and x letters in the morning. He then received y emails and z letters in the afternoon. How many letters did jack receive in the day?,( x + z )
590,Lewis earns $ w every week during the x weeks of harvest. If he has to pay $ y rent every week How much money does he earn during harvest season?,( w * x )
591,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and that each sack containes x oranges. How many days will it take to harvest y sacks of oranges?,( y / w )
592,Robin has some packages of gum. There are w pieces in each package and a total of x pieces of gum. How many packages does Robin have?,( x / w )
593,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ w by selling x t-shirts. What is the cost of each t-shirt?,( w / x )
594,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches lesser than the frog. How far did the mouse jump?",( ( w + x ) - y )
595,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and discard x of them. How many oranges do they harvest per day if each sack contains y oranges?,( ( w - x ) * y )
596,Jesse's room is w feet wide. If she needs a carpet of size x square feet What is the length of her room?,( x / w )
597,Every day Ryan spends w hours on learning english and x hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,( w * y )
598,Ed had w more marbles than Doug. Doug lost x of his marbles at the playground. If Ed had y marbles How many more marbles did Ed have than Doug then?,( w + x )
599,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had w invitations in it and she bought x packs. If she sends invitations to only 2 friends How many invitations will be left?,( ( w * x ) - y )
600,Rachel's tree had w apples initially. She picked some apples and now there are x apples left on the tree. How many apples did rachel pick?,( w - x )
601,Bobby ate w pieces of candy. Then he ate x more. He also ate y pieces of chocolate. How many pieces of candy did Bobby eat?,( w + x )
602,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a jersey cost than a t-shirt?,( w - x )
603,Bobby had w pieces of candy. He ate some pieces of candy. Then he ate x more. If he still has y pieces of candy left How many pieces of candy had he eaten at the start?,( ( w - x ) - y )
604,If each pack costs w dollars How much will it cost to buy x packs of dvds?,( w * x )
605,There were w parents in the program and x pupils too. The program could seat y people How many people were present in the program?,( w + x )
606,Every day Ryan spends w hours on learning english and x hours on learning chinese. If he learns for y days How many hours does he spend on learning english and chinese each day?,( w + x )
607,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many more cakes than pastries did baker make?,( w - x )
608,At the arcade Dave had won w tickets. If he used x to buy some toys and y more to buy some clothes How many more tickets did Dave use to buy toys than he did to buy clothes?,( x - y )
609,"A grocery store had w bottles of regular soda, x bottles of diet soda and y apples. How many bottles did they have total?",( w + x )
610,There are w baskets of peaches. Each basket has x red peaches and y green peaches. How many peaches are in the baskets altogether?,( ( x + y ) * w )
611,Paul got a box of w crayons for his birthday. During the school year he gave x crayons to his friends while he lost y crayons. How many crayons did he have left?,( w - ( x + y ) )
612,Some campers went rowing in the morning while w campers went rowing in the afternoon. If a total of x campers went rowing that day How many campers went rowing in the morning?,( x - w )
613,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and discard x of them. How many sacks of oranges will they have after y days of harvest?,( ( w - x ) * y )
614,Next on his checklist is wax to stick the feathers together. If he has w g of wax and right now he just needs x g Total how many grams of wax do the feathers require?,( w + x )
615,Jerry had w books and x action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf?,( w - ( x + y ) )
616,Matthew gave w crackers to each his friends. If he had x crackers How many friends did he give crackers to?,( x / w )
617,Katie had w new games and x old games. Her friends had y new games. How many more games does Katie have than her friends?,( ( w + x ) - y )
618,w children were riding on the bus. At the bus stop x more children got on the bus. How many children are on the bus now?,( w + x )
619,Josh had w marbles in his collection. He found x marbles. How many marbles does he have now?,( w + x )
620,Jake brought w balloons to the park. If Jake brought x more balloons than the number of balloons that Allan brought How many balloons did Allan bring to the park?,( w - x )
621,At the arcade Dave had won w tickets and lost x tickets. If he used y to buy some toys How many tickets did Dave have left?,( ( w - x ) - y )
622,During summer break w kids from Lawrence county go to camp and the other x kids stay home. An additional y kids from outside the county attended the camp. About how many kids are in Lawrence county?,( w + x )
623,Edward had $ w. He spent $ x. How much money does Edward have now?,( w - x )
624,For Gwen's birthday she received w dollars from her dad. Her mom gave her x more dollars. If she spent y dollars. How much more money did she receive from her dad than she did from her mom?,( w - x )
625,Robin's hair was w inches long. It grew by x inches. Then he cut off y inches. How long is his hair now?,( ( w - y ) + x )
626,Edward spent $ w to buy x books each book costing him the same amount of money. Now he has $ y. How much did Edward have before he spent his money?,( w + y )
627,During summer break w kids from Lawrence county go to camp and the other x kids stay home. An additional y kids from outside the county attended the camp. How many kids in total attended the camp?,( w + y )
628,Baker made w cakes and x pastries. If he sold y pastries and z cakes How many more cakes than pastries did baker sell?,( z - y )
629,"After a typhoon, w trees in Haley's backyard died. If she had grown x trees initially How many trees does she have left?",( x - w )
630,Paco had w sweet cookies and x salty cookies. He ate y sweet cookies and z salty cookies. How many more salty cookies than sweet cookies did he eat?,( z - y )
631,"A grocery store had w bottles of regular soda, x bottles of diet soda and y apples. How many more bottles of regular soda than diet soda did they have?",( w - x )
632,Carol was sending out birthday invitations to w friends. She bought x packs each one having the same number of invitations. How many invitations are in each pack?,( w / x )
633,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many apples does Jake have?,( x + z )
634,Josh had w marbles in his collection. Jack gave him x marbles. How many marbles does Josh have now?,( w + x )
635,Faye had w packs of pencils each one having x pencils. She was placing her pencils into rows with y pencils in each row. How many pencils does she have?,( w * x )
636,Jake has w more apples and x fewer peaches than Steven. Steven has y peaches and z apples. How many peaches does Jake have?,( y - x )
637,Rebecca wants to split a collection of eggs into w groups. Rebecca has x eggs and y marbles. How many eggs will each group have?,( x / w )
638,Jack received w emails and sent x letters in the morning. He then received y emails and sent z letters in the afternoon. How many emails did Jack send in the day?,( x + z )
639,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many more pages of reading homework than biology homework did she have?",( x - y )
640,Dan has $ w. He bought some candy bar for $ x each one costing $ y. How many candy bar did he buy?,( x / y )
641,"Lucy went to the grocery store. She bought w packs of cookie, x packs of cake and y packs of chocolate. How many packs of groceries did she buy in all?",( ( w + x ) + y )
642,The school has w grades and each grade has x students How many students were there in total?,( w * x )
643,The cave is w feet deep and they are already at x feet. If they are travelling at speed of y How much farther until they reach the end of the cave?,( w - x )
644,Bobby had w pieces of candy. He ate some pieces of candy. If he has x pieces of candy left How many pieces of candy did Bobby eat?,( w - x )
645,Baker sold w cakes. If he had made x cakes initially How many more cakes did baker make than those he sold?,( x - w )
646,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day and y visitors the day before that How many visited the Buckingham palace before that day?",( x + y )
647,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace on the previous day. If there were x visitors on that day How many more visitors visited the Buckingham palace on that day than on the previous day?",( x - w )
648,In Haley's class w are boys who love to play marbles. If Haley has x marbles and wants to keep y marbles for herself How many will each of the boys receive?,( ( x - y ) / w )
649,Matthew had w crackers and x cakes. If Matthew gave equal numbers of crackers and cakes to his y friends How many crackers did each person eat?,( w / y )
650,Rachel has w apple trees. She picked x apples from each of her trees. Now the trees have a total y apples still on them. How many apples were there on all trees initially?,( ( w * x ) + y )
651,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour. How many more cups of sugar than cups of flour does she need to add now?,( x - ( w - y ) )
652,The school is planning a field trip. The school has w classrooms. There are x school buses and a total of y students in the school. If all buses are full How many seats are in each bus?,( y / x )
653,For Gwen's birthday she received some dollars. She spent w dollars and has x dollars left with her. How much money did Gwen receive for her birthday?,( w + x )
654,Danny collects bottle caps. He lost w bottle caps at the park. Now he has x bottle caps in his collection. How many bottle caps did danny have at first?,( w + x )
655,Jake has w fewer peaches than Steven. Steven has x more peaches than Jill. If jill has y peaches How many peaches does Jake have?,( ( x + y ) - w )
656,During summer break w kids from Lawrence county stay home and the other x kids go to camp. About how many kids are in Lawrence county?,( x + w )
657,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many books were on his shelf in all?,( x + y )
658,w birds and x storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,( x + y )
659,Allan brought w balloons and Jake brought x balloons to the park. Jake then bought y more balloons at the park. How many more balloons did Allan have than Jake in the park?,( w - ( x + y ) )
660,Faye was placing her pencils and crayons into w rows with x pencils and y crayons in each row. How many pencils does she have?,( w * x )
661,The Razorback t-shirt shop sells each t-shirt for $ w dollars. During the Arkansas and Texas tech game they increased the prices by $ x per t-shirt and sold y t-shirts. How much money did they make from selling the t-shirts?,( ( w + x ) * y )
662,Ed had w more marbles than Doug. Ed lost x of his marbles at the playground. If Ed had y marbles How many marbles does Doug have now?,( y - w )
663,Lawrence county has w kids. During summer break x kids stay home and the rest go to camp. How many kids go to the camp during the break?,( w - x )
664,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a t-shirt cost than a jersey?,( x - w )
665,Dan has $ w. He bought a candy bar for $ x and a chocolate for $ y. How much money did he spend buying the candy bar and chocolate?,( x + y )
666,Jerry had w action figures and x books on a shelf in his room. Later he added y more action figures to the shelf. How many action figures were on his shelf in all?,( w + y )
667,Mary is baking a cake. The recipe calls for w cups of sugar and some more cups of flour. She already put in x cups of flour. If she still needs to add y more cups of flour How many cups of flour did the recipe require?,( x + y )
668,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many more pastries than cakes did baker sell?,( z - y )
