,Unnamed: 0.2,Unnamed: 0.1,ID,Body,Question,Equation,Answer,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers
436,436,436,chal-437,Rachel had to complete 8 pages of math homework. If she had to complete 6 more pages of reading homework than math homework,How many pages of reading homework did she have to complete?,( 8.0 + 6.0 ),14,Addition,Rachel had to complete <1> pages of math homework. If she had to complete <2> more pages of reading homework than math homework how many pages of reading homework did she have to complete?,( <1> + <2> ),"['<1>', '<2>']","['8', '6']"
437,437,437,chal-438,Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon.,How many emails did Jack receive in the day?,( 6.0 + 2.0 ),8,Addition,Jack received <1> emails and sent <<3>> letters in the morning. He then received 2 emails and sent <4> letters in the afternoon. how many emails did jack receive in the day?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['6', '91', '2', '74']"
438,438,438,chal-439,At the arcade Dave had won 7 tickets. He used some tickets to buy toys. If he still has 2 tickets left,How many tickets did Dave use to buy toys?,( 7.0 - 2.0 ),5,Subtraction,At the arcade Dave had won <1> tickets. He used some tickets to buy toys. If he still has <2> tickets left how many tickets did dave use to buy toys?,( <1> - <2> ),"['<1>', '<2>']","['7', '2']"
439,439,439,chal-440,Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chinese,How many hours does he spend on learning chinese?,( 7.0 - 2.0 ),5,Subtraction,Every day Ryan spends <1> hours on learning english and some more hours on learning chinese. If he spends <2> hours more on learning english than on learning chinese how many hours does he spend on learning chinese?,( <1> - <2> ),"['<1>', '<2>']","['7', '2']"
440,440,440,chal-441,Katie had 91 ds games and her new friends had 88 games and old friends had 53 games.,How many games do her friends have in all?,( 88.0 + 53.0 ),141,Addition,Katie had <1> ds games and her new friends had <2> games and old friends had <3> games. how many games do her friends have in all?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['91', '88', '53']"
441,441,441,chal-442,Paul got a box of some crayons for his birthday. During the school year he gave 52 crayons to his friends while he lost 535 crayons. If he only had 492 crayons left,How many crayons had been lost or given away?,( 52.0 + 535.0 ),587,Addition,Paul got a box of some crayons for his birthday. During the school year he gave <1> crayons to his friends while he lost <2> crayons. If he only had <3> crayons left how many crayons had been lost or given away?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['52', '535', '492']"
442,442,442,chal-443,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day.",How many drums of grapes would be filled in 146 days?,( 244.0 * 146.0 ),35624,Multiplication,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by <1> of the pickers that they fill <2> drums of grapes per day and <3> drums of raspberries per day. how many drums of grapes would be filled in <4> days?",( <2> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['294', '244', '47', '146']"
443,443,443,chal-444,Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches.,How many peaches does Jill have?,( ( 17.0 - 7.0 ) - 8.0 ),2,Subtraction,Jake has <1> fewer peaches than Steven and <2> more peaches than Jill. Steven has <3> peaches. how many peaches does jill have?,( ( 1<1> - 7.0 ) - <2> ),"['<1>', '<2>', '<3>']","['7', '8', '17']"
444,444,444,chal-445,"2 red peaches, 6 yellow peaches and 14 green peaches are in the basket.",How many more green peaches than yellow peaches are in the basket?,( 14.0 - 6.0 ),8,Subtraction,"<1> red peaches, <2> yellow peaches and <3> green peaches are in the basket. how many more green peaches than yellow peaches are in the basket?",( <3> - <2> ),"['<1>', '<2>', '<3>']","['2', '6', '14']"
445,445,445,chal-446,A book has 31 chapters. Each chapter is 61 pages long.,How many pages does the book have altogether?,( 31.0 * 61.0 ),1891,Multiplication,A book has <1> chapters. Each chapter is <2> pages long. how many pages does the book have altogether?,( <1> * <2> ),"['<1>', '<2>']","['31', '61']"
446,446,446,chal-447,Brenda's mother made cookies for guests. Each guest had 2 cookies. If she prepared a total of 10 cookies,How many guests did she prepare cookies for?,( 10.0 / 2.0 ),5,Common-Division,Brenda's mother made cookies for guests. Each guest had <1> cookies. If she prepared a total of <2> cookies how many guests did she prepare cookies for?,( <2> / <1> ),"['<1>', '<2>']","['2', '10']"
447,447,447,chal-448,Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday,How many hours does he spend on learning chinese?,( 3.0 - 2.0 ),1,Subtraction,Every day Ryan spends a total of <1> hours on learning english and chinese. If he spends <2> hours on learning english everyday how many hours does he spend on learning chinese?,( <1> - <2> ),"['<1>', '<2>']","['3', '2']"
448,448,448,chal-449,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day.",How many drums of grapes would be filled in 77 days?,( 221.0 * 77.0 ),17017,Multiplication,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by <1> of the pickers that they fill <2> drums of raspberries per day and <3> drums of grapes per day. how many drums of grapes would be filled in <4> days?",( <3> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['235', '100', '221', '77']"
449,449,449,chal-450,Bobby ate 38 pieces of candy. Then he ate 36 more. He also ate 16 pieces of chocolate.,How many more pieces of candy than chocolate did Bobby eat?,( ( 38.0 + 36.0 ) - 16.0 ),58,Subtraction,Bobby ate <1> pieces of candy. Then he ate <2> more. He also ate <3> pieces of chocolate. how many more pieces of candy than chocolate did bobby eat?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['38', '36', '16']"
450,450,450,chal-451,He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges.,How many days did it take to harvest them if they harvested 18 sacks of oranges per day?,( 54.0 / 18.0 ),3,Common-Division,He then went to see the oranges being harvested. He found out that they harvested <1> sacks of oranges. how many days did it take to harvest them if they harvested <2> sacks of oranges per day?,( <1> / <2> ),"['<1>', '<2>']","['54', '18']"
451,451,451,chal-452,A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block,How many houses are there in a block?,( 25.0 / 5.0 ),5,Common-Division,A mailman has to give <1> pieces of junk mail to each block. If he gives <2> mails to each house in a block how many houses are there in a block?,( <1> / <2> ),"['<1>', '<2>']","['25', '5']"
452,452,452,chal-453,A waiter had 8 customers. After some left he still had 5 customers. Then he got 99 new customers,How many customers left?,( 8.0 - 5.0 ),3,Subtraction,A waiter had <1> customers. After some left he still had <2> customers. Then he got <3> new customers how many customers left?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['8', '5', '99']"
453,453,453,chal-454,Jake has 3 fewer peaches and 4 more apples than Steven. Steven has 19 apples and 15 peaches.,How many more apples than peaches does Steven have?,( 19.0 - 15.0 ),4,Subtraction,Jake has <1> fewer peaches and <2> more apples than Steven. Steven has <3> apples and <4> peaches. how many more apples than peaches does steven have?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['3', '4', '19', '15']"
454,454,454,chal-455,Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese.,How many more hours does he spend on learning chinese than he does on learning english?,( 7.0 - 6.0 ),1,Subtraction,Every day Ryan spends <1> hours on learning english and <2> hours on learning chinese. how many more hours does he spend on learning chinese than he does on learning english?,( <2> - <1> ),"['<1>', '<2>']","['6', '7']"
455,455,455,chal-456,4 birds and 46 storks were sitting on the fence. 6 more birds came to join them.,How many birds are sitting on the fence?,( 4.0 + 6.0 ),10,Addition,<1> birds and <2> storks were sitting on the fence. <3> more birds came to join them. how many birds are sitting on the fence?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['4', '46', '6']"
456,456,456,chal-457,Paco had 28 cookies. He ate some of them and had 7 cookies left.,How many cookies did Paco eat?,( 28.0 - 7.0 ),21,Subtraction,Paco had <1> cookies. He ate some of them and had <2> cookies left. how many cookies did paco eat?,( <1> - <2> ),"['<1>', '<2>']","['28', '7']"
457,457,457,chal-458,Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends,How many friends did he give crackers to?,( 8.0 / 2.0 ),4,Common-Division,Matthew had <1> crackers to give to friends. If Matthew gave <2> crackers to each his friends how many friends did he give crackers to?,( <1> / <2> ),"['<1>', '<2>']","['8', '2']"
458,458,458,chal-459,41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon.,How many campers went rowing and hiking in all?,( ( 41.0 + 26.0 ) + 4.0 ),71,Addition,<1> campers went rowing and <2> campers went hiking in the morning. <3> campers went rowing in the afternoon. how many campers went rowing and hiking in all?,( ( <1> + <3> ) + <2> ),"['<1>', '<2>', '<3>']","['41', '4', '26']"
459,459,459,chal-460,Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies,How many more cookies did he buy than those he ate?,( 36.0 - 2.0 ),34,Subtraction,Paco had <1> cookies. He ate <2> of them. Then he bought <3> more cookies how many more cookies did he buy than those he ate?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['13', '2', '36']"
460,460,460,chal-461,Zachary did 19 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 13 push-ups less than david.,How many push-ups did David do?,( 19.0 + 39.0 ),58,Addition,Zachary did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. John did <3> push-ups less than david. how many push-ups did david do?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['19', '39', '13']"
461,461,461,chal-462,Mary is baking a cake. The recipe calls for 12 cups of flour 14 cups of sugar and 7 cups of salt. She already put in 2 cups of flour.,How many more cups of flour than cups of salt does she need to add now?,( ( 12.0 - 2.0 ) - 7.0 ),3,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour <<4>> cups of sugar and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add now?,( ( <1> - <4> ) - <3> ),"['<1>', '<2>', '<3>', '<4>']","['12', '14', '7', '2']"
462,462,462,chal-463,There were 15 roses in the vase. Jessica threw away 33 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 17 roses in the vase.,How many more roses did she cut than those she threw away?,( 17.0 - 15.0 ),2,Subtraction,There were <1> roses in the vase. Jessica threw away <2> roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now <3> roses in the vase. how many more roses did she cut than those she threw away?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['15', '33', '17']"
463,463,463,chal-464,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars.,How much money did Jason earn by delivering newspapers?,( 63.0 - 3.0 ),60,Subtraction,Last week Fred had <1> dollars and Jason had <2> dollars. Fred washed cars over the weekend and now has <3> dollars. Jason delivered newspapers and now has <4> dollars. how much money did jason earn by delivering newspapers?,( 6<2> - 3.0 ),"['<1>', '<2>', '<3>', '<4>']","['49', '3', '112', '63']"
464,464,464,chal-465,Jake has 7 fewer peaches than Steven and 9 more peaches than Jill. Steven has 16 peaches.,How many peaches does Jake have?,( 16.0 - 7.0 ),9,Subtraction,Jake has <1> fewer peaches than Steven and <2> more peaches than Jill. Steven has <3> peaches. how many peaches does jake have?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['7', '9', '16']"
465,465,465,chal-466,46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon.,How many campers went rowing in the afternoon?,( 46.0 - 43.0 ),3,Subtraction,<1> campers went rowing on a day. <2> campers went rowing in the morning and some more campers went rowing in the afternoon. how many campers went rowing in the afternoon?,( <1> - <2> ),"['<1>', '<2>']","['46', '43']"
466,466,466,chal-467,The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days.,How much did they make in all?,( 382.0 + 374.0 ),756,Addition,The ring toss game at the carnival made <1> dollars in the first <2> days and <3> dollars in the remaining <4> days. how much did they make in all?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['382', '44', '374', '10']"
467,467,467,chal-468,A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book,How many pages are in the first chapter?,( 67.0 - 36.0 ),31,Subtraction,A book has <1> chapters. The second chapter is <2> pages long. If there are a total of <3> pages in the book how many pages are in the first chapter?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['2', '36', '67']"
468,468,468,chal-469,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 3 invitations in it and she bought 2 packs. If she wants to invite 9 friends,How many extra invitations will she need to buy?,( 9.0 - ( 3.0 * 2.0 ) ),3,Subtraction,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had <1> invitations in it and she bought <2> packs. If she wants to invite <3> friends how many extra invitations will she need to buy?,( <3> - ( <1> * <2> ) ),"['<1>', '<2>', '<3>']","['3', '2', '9']"
469,469,469,chal-470,Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David.,How many more push-ups did Zachary do than John?,( 39.0 - 9.0 ),30,Subtraction,Zachary did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. John did <3> push-ups less than David. how many more push-ups did zachary do than john?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['15', '39', '9']"
470,470,470,chal-471,Ed had 2 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has 19 more marbles than doug.,How many marbles did Doug lose?,( 19.0 - 2.0 ),17,Subtraction,Ed had <1> more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has <2> more marbles than doug. how many marbles did doug lose?,( <2> - <1> ),"['<1>', '<2>']","['2', '19']"
471,471,471,chal-472,There are 896 skittles in Steven's skittles collection. Steven also has 517 erasers and 90 scales. If the skittles are organized into 8 groups,How big is each group?,( 896.0 / 8.0 ),112,Common-Division,There are <1> skittles in Steven's skittles collection. Steven also has <2> erasers and <3> scales. If the skittles are organized into <4> groups how big is each group?,( <1> / <4> ),"['<1>', '<2>', '<3>', '<4>']","['896', '517', '90', '8']"
472,472,472,chal-473,Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs.,How many groups will be created?,( 15.0 / 5.0 ),3,Common-Division,Rebecca wants to split a collection of eggs into groups of <1>. Rebecca has <2> marbles and <3> eggs. how many groups will be created?,( 1<1> / 5.0 ),"['<1>', '<2>', '<3>']","['5', '10', '15']"
473,473,473,chal-474,Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left.,How many books did he sell in the garage sale?,( 153.0 - 13.0 ),140,Subtraction,Paul had <1> pens and <2> books. After selling some books and pens in a garage sale he had <3> books and <4> pens left. how many books did he sell in the garage sale?,( <2> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['95', '153', '13', '23']"
474,474,474,chal-475,Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book.,How many pages did he read per day?,( 612.0 / 6.0 ),102,Common-Division,Frank was reading through his favorite book. The book had <1> pages equally distributed over <2> chapters. It took Frank <3> days to finish the book. how many pages did he read per day?,( <1> / <3> ),"['<1>', '<2>', '<3>']","['612', '24', '6']"
475,475,475,chal-476,There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches,How many baskets of peaches are there?,( 10.0 / ( 4.0 + 6.0 ) ),1,Common-Division,There are <1> peaches distributed equally in some baskets. If each basket has <2> red peaches and <3> green peaches how many baskets of peaches are there?,( <1> / ( <2> + <3> ) ),"['<1>', '<2>', '<3>']","['10', '4', '6']"
476,476,476,chal-477,Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178,How many weeks did the harvest last?,( 178.0 / 2.0 ),89,Common-Division,Lewis earns $ <1> every week during the harvest. If he earns a total of $ <2> how many weeks did the harvest last?,( <2> / <1> ),"['<1>', '<2>']","['2', '178']"
477,477,477,chal-478,Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection.,How many more bottle caps did danny throw away than those he found at the park?,( 54.0 - 48.0 ),6,Subtraction,Danny collects bottle caps. He threw away <1> of the old ones at the park while he found <2> bottle caps new ones. Now he has <3> bottle caps in his collection. how many more bottle caps did danny throw away than those he found at the park?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['54', '48', '52']"
478,478,478,chal-479,He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day.,How many sacks of unripe oranges will they have after 45 days of harvest?,( 24.0 * 45.0 ),1080,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks of ripe oranges and <2> sacks of unripe oranges per day. how many sacks of unripe oranges will they have after <3> days of harvest?,( <2> * <3> ),"['<1>', '<2>', '<3>']","['31', '24', '45']"
479,479,479,chal-480,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.,How much did they jump altogether?,( 35.0 + ( 35.0 - 4.0 ) ),66,Subtraction,The grasshopper and the frog had a jumping contest. The grasshopper jumped <1> inches. The grasshopper jumped <2> inches farther than the frog. how much did they jump altogether?,( <1> + ( 35.0 - <2> ) ),"['<1>', '<2>']","['35', '4']"
480,480,480,chal-481,The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys.,How much money did they make from selling the jerseys?,( 165.0 * 156.0 ),25740,Multiplication,The Razorback shop makes $ <1> dollars off each t-shirt and $ <2> off each jersey. During the Arkansas and Texas tech game they sold <3> t-shirts and <4> jerseys. how much money did they make from selling the jerseys?,( <2> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['67', '165', '74', '156']"
481,481,481,chal-482,After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet,How deep was the water?,( 12.0 * 5.0 ),60,Multiplication,After resting they decided to go for a swim. The depth of the water is <1> times Ron's height. Dean is <2> feet shorter than Ron. If Ron stands at <3> feet how deep was the water?,( <3> * <1> ),"['<1>', '<2>', '<3>']","['5', '11', '12']"
482,482,482,chal-483,There are 466 pots. Each pot has 53 flowers and 181 sticks in it.,How many flowers and sticks are there in all?,( ( 53.0 + 181.0 ) * 466.0 ),109044,Multiplication,There are <1> pots. Each pot has <2> flowers and <3> sticks in it. how many flowers and sticks are there in all?,( ( <2> + <3> ) * <1> ),"['<1>', '<2>', '<3>']","['466', '53', '181']"
483,483,483,chal-484,Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons.,How many more crayons did he lose than those he gave to his friends?,( 412.0 - 90.0 ),322,Subtraction,Paul got a box of <1> crayons for his birthday. During the school year he gave <2> crayons to his friends while he lost <3> crayons. how many more crayons did he lose than those he gave to his friends?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['110', '90', '412']"
484,484,484,chal-485,In a school there are 569 girls and 236 boys.,How many more girls than boys does the school have?,( 569.0 - 236.0 ),333,Subtraction,In a school there are <1> girls and <2> boys. how many more girls than boys does the school have?,( <1> - <2> ),"['<1>', '<2>']","['569', '236']"
485,485,485,chal-486,He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day.,How many sacks of unripe oranges will they have after 6 days of harvest?,( 65.0 * 6.0 ),390,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks of unripe oranges and <2> sacks of ripe oranges per day. how many sacks of unripe oranges will they have after <3> days of harvest?,( <1> * <3> ),"['<1>', '<2>', '<3>']","['65', '46', '6']"
486,486,486,chal-487,The Ferris wheel in paradise park has 6 seats. Each seat can hold 14 people. If there are 16 people on the wheel right now,How many more people can join the wheel?,( ( 6.0 * 14.0 ) - 16.0 ),68,Subtraction,The Ferris wheel in paradise park has <1> seats. Each seat can hold <2> people. If there are <3> people on the wheel right now how many more people can join the wheel?,( ( <1> * <2> ) - <3> ),"['<1>', '<2>', '<3>']","['6', '14', '16']"
487,487,487,chal-488,Debby bought 153 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for 17 days,How many bottles did she drink each day?,( 153.0 / 17.0 ),9,Common-Division,Debby bought <1> water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for <2> days how many bottles did she drink each day?,( <1> / <2> ),"['<1>', '<2>']","['153', '17']"
488,488,488,chal-489,Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package.,How many pieces of candies does Robin have?,( 45.0 * 9.0 ),405,Multiplication,Robin has <1> packages of gum and <2> packages of candy. There are <3> pieces in each package. how many pieces of candies does robin have?,( <2> * <3> ),"['<1>', '<2>', '<3>']","['21', '45', '9']"
489,489,489,chal-490,After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially,How much did she spend?,( 54.0 - 29.0 ),25,Subtraction,After Olivia visited a supermarket there were <1> dollars left. If there were <2> dollars in her wallet initially how much did she spend?,( <2> - <1> ),"['<1>', '<2>']","['29', '54']"
490,490,490,chal-491,Haley grew 20 trees in her backyard. After a typhoon 4 trees were left.,How many trees died in the typhoon?,( 20.0 - 4.0 ),16,Subtraction,Haley grew <1> trees in her backyard. After a typhoon <2> trees were left. how many trees died in the typhoon?,( <1> - <2> ),"['<1>', '<2>']","['20', '4']"
491,491,491,chal-492,Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches.,How many peaches does Jake have?,( 15.0 - 7.0 ),8,Subtraction,Jake has <1> fewer peaches than Steven who has <2> more peaches than Jill. Steven has <3> peaches. how many peaches does jake have?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['7', '14', '15']"
492,492,492,chal-493,Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week,How much money will have at the end of the harvest season?,( ( 491.0 - 216.0 ) * 1181.0 ),324775,Multiplication,Lewis earns $ <1> every week during the <2> weeks of harvest. If he has to pay $ <3> rent every week how much money will have at the end of the harvest season?,( ( <1> - <3> ) * <2> ),"['<1>', '<2>', '<3>']","['491', '1181', '216']"
493,493,493,chal-494,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left.,How many pens did he sell in the garage sale?,( 106.0 - 14.0 ),92,Subtraction,Paul had <1> books and <2> pens. After selling some books and pens in a garage sale he had <3> books and <4> pens left. how many pens did he sell in the garage sale?,( <2> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['51', '106', '82', '14']"
494,494,494,chal-495,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary.,How many crunches did David do?,( 17.0 - 13.0 ),4,Subtraction,Zachary did <1> push-ups and <2> crunches in gym class today. David did <3> more push-ups but <4> less crunches than zachary. how many crunches did david do?,( <2> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['44', '17', '29', '13']"
495,495,495,chal-496,Paul had 42 pens and 143 books. After selling some books and pens in a garage sale he had 113 books and 19 pens left.,How many pens did he sell in the garage sale?,( 42.0 - 19.0 ),23,Subtraction,Paul had <1> pens and <2> books. After selling some books and pens in a garage sale he had <3> books and <4> pens left. how many pens did he sell in the garage sale?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['42', '143', '113', '19']"
496,496,496,chal-497,Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection.,How many more bottle caps than wrappers does danny have now?,( 28.0 - 16.0 ),12,Subtraction,Danny collects bottle caps and wrappers. He found <1> bottle caps and <2> wrappers at the park. Now he has <3> bottle caps and <4> wrappers in his collection. how many more bottle caps than wrappers does danny have now?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['71', '24', '28', '16']"
497,497,497,chal-498,Dan has $ 4. He bought 99 candy bar for $ 3 each one costing the same amount of money.,How much money is left?,( 4.0 - 3.0 ),1,Subtraction,Dan has $ <1>. He bought <2> candy bar for $ <3> each one costing the same amount of money. how much money is left?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['4', '99', '3']"
498,498,498,chal-499,5 children were riding on the bus. At the bus stop 63 children got off the bus while some more got on the bus. Then there were 14 children altogether on the bus.,How many more children got on the bus than those that got off?,( 14.0 - 5.0 ),9,Subtraction,<1> children were riding on the bus. At the bus stop <2> children got off the bus while some more got on the bus. Then there were <3> children altogether on the bus. how many more children got on the bus than those that got off?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['5', '63', '14']"
499,499,499,chal-500,Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day,How many days would the water bottles last?,( 180.0 / 15.0 ),12,Common-Division,Debby bought <1> soda bottles and <2> water bottles when they were on sale. If she drank <3> water bottles and <4> soda bottles a day how many days would the water bottles last?,( <2> / <3> ),"['<1>', '<2>', '<3>', '<4>']","['95', '180', '15', '54']"
500,500,500,chal-501,Mary is baking a cake. The recipe calls for 3 cups of sugar and 10 cups of flour. She already put in some cups of flour. If she still needs 5 more cups of flour than sugar,How many cups of flour did she put in?,( ( 10.0 - 3.0 ) - 5.0 ),2,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of sugar and <2> cups of flour. She already put in some cups of flour. If she still needs <3> more cups of flour than sugar how many cups of flour did she put in?,( ( <2> - <1> ) - <3> ),"['<1>', '<2>', '<3>']","['3', '10', '5']"
501,501,501,chal-502,Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row.,How many rows could she make?,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,Faye had <1> packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she make?,( <1> * ( <<3>/ 2.0 ) ),"['<1>', '<2>', '<3>']","['35', '4', '2']"
502,502,502,chal-503,Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people.,How many people can ride 20 Ferris wheels at the same time?,( ( 19.0 * 15.0 ) * 20.0 ),5700,Multiplication,Each Ferris wheel in paradise park has <1> seats. Each seat in a Ferris wheel can hold <2> people. how many people can ride <3> ferris wheels at the same time?,( ( <1> * <2> ) * <3> ),"['<1>', '<2>', '<3>']","['19', '15', '20']"
503,503,503,chal-504,Bobby had 19 pieces of candy. He ate 2 pieces of candy.,How many pieces of candy does he still have left?,( 19.0 - 2.0 ),17,Subtraction,Bobby had <1> pieces of candy. He ate <2> pieces of candy. how many pieces of candy does he still have left?,( <1> - <2> ),"['<1>', '<2>']","['19', '2']"
504,504,504,chal-505,Bobby had 20 pieces of candy. He ate 34 pieces of candy. Then he ate 18 more.,How many pieces of candy did Bobby eat?,( 34.0 + 18.0 ),52,Addition,Bobby had <1> pieces of candy. He ate <2> pieces of candy. Then he ate <3> more. how many pieces of candy did bobby eat?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['20', '34', '18']"
505,505,505,chal-506,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 705 visitors came to the Buckingham palace that day. If there were 191 visitors the previous day and 457 visitors the day before that",How many more visitors visited the Buckingham palace on that day than on the previous 245 days?,( 705.0 - ( 191.0 + 457.0 ) ),57,Subtraction,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that <1> visitors came to the Buckingham palace that day. If there were <2> visitors the previous day and <3> visitors the day before that how many more visitors visited the buckingham palace on that day than on the previous <4> days?",( <1> - ( <2> + <3> ) ),"['<1>', '<2>', '<3>', '<4>']","['705', '191', '457', '245']"
506,506,506,chal-507,Paul had 108 books and 55 pens. After selling some books and pens in a garage sale he had 66 books and 59 pens left.,How many books did he sell in the garage sale?,( 108.0 - 66.0 ),42,Subtraction,Paul had <1> books and <2> pens. After selling some books and pens in a garage sale he had <3> books and <4> pens left. how many books did he sell in the garage sale?,( <1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['108', '55', '66', '59']"
