,Question
463,Last week Fred had x1 dollars and Jason had x2 dollars. Fred washed cars over the weekend and now has x3 dollars. Jason delivered newspapers and now has x4 dollars. how much money did jason earn by delivering newspapers?
464,Jake has x1 fewer peaches than Steven and x2 more peaches than Jill. Steven has x3 peaches. how many peaches does jake have?
465,x1 campers went rowing on a day. x2 campers went rowing in the morning and some more campers went rowing in the afternoon. how many campers went rowing in the afternoon?
466,The ring toss game at the carnival made x1 dollars in the first x2 days and x3 dollars in the remaining x4 days. how much did they make in all?
467,A book has x1 chapters. The second chapter is x2 pages long. If there are a total of x3 pages in the book how many pages are in the first chapter?
468,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought x2 packs. If she wants to invite x3 friends how many extra invitations will she need to buy?
469,Zachary did x1 push-ups in gym class today. David did x2 more push-ups than Zachary. John did x3 push-ups less than David. how many more push-ups did zachary do than john?
470,Ed had x1 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has x2 more marbles than doug. how many marbles did doug lose?
471,There are x1 skittles in Steven's skittles collection. Steven also has x2 erasers and x3 scales. If the skittles are organized into x4 groups how big is each group?
472,Rebecca wants to split a collection of eggs into groups of x1. Rebecca has x2 marbles and x3 eggs. how many groups will be created?
473,Paul had x1 pens and x2 books. After selling some books and pens in a garage sale he had x3 books and x4 pens left. how many books did he sell in the garage sale?
474,Frank was reading through his favorite book. The book had x1 pages equally distributed over x2 chapters. It took Frank x3 days to finish the book. how many pages did he read per day?
475,There are x1 peaches distributed equally in some baskets. If each basket has x2 red peaches and x3 green peaches how many baskets of peaches are there?
476,Lewis earns $ x1 every week during the harvest. If he earns a total of $ x2 how many weeks did the harvest last?
477,Danny collects bottle caps. He threw away x1 of the old ones at the park while he found x2 bottle caps new ones. Now he has x3 bottle caps in his collection. how many more bottle caps did danny throw away than those he found at the park?
478,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of ripe oranges and x2 sacks of unripe oranges per day. how many sacks of unripe oranges will they have after x3 days of harvest?
479,The grasshopper and the frog had a jumping contest. The grasshopper jumped x1 inches. The grasshopper jumped x2 inches farther than the frog. how much did they jump altogether?
480,The Razorback shop makes $ x1 dollars off each t-shirt and $ x2 off each jersey. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much money did they make from selling the jerseys?
481,After resting they decided to go for a swim. The depth of the water is x1 times Ron's height. Dean is x2 feet shorter than Ron. If Ron stands at x3 feet how deep was the water?
482,There are x1 pots. Each pot has x2 flowers and x3 sticks in it. how many flowers and sticks are there in all?
483,Paul got a box of x1 crayons for his birthday. During the school year he gave x2 crayons to his friends while he lost x3 crayons. how many more crayons did he lose than those he gave to his friends?
484,In a school there are x1 girls and x2 boys. how many more girls than boys does the school have?
485,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of unripe oranges and x2 sacks of ripe oranges per day. how many sacks of unripe oranges will they have after x3 days of harvest?
486,The Ferris wheel in paradise park has x1 seats. Each seat can hold x2 people. If there are x3 people on the wheel right now how many more people can join the wheel?
487,Debby bought x1 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for x2 days how many bottles did she drink each day?
488,Robin has x1 packages of gum and x2 packages of candy. There are x3 pieces in each package. how many pieces of candies does robin have?
489,After Olivia visited a supermarket there were x1 dollars left. If there were x2 dollars in her wallet initially how much did she spend?
490,Haley grew x1 trees in her backyard. After a typhoon x2 trees were left. how many trees died in the typhoon?
491,Jake has x1 fewer peaches than Steven who has x2 more peaches than Jill. Steven has x3 peaches. how many peaches does jake have?
492,Lewis earns $ x1 every week during the x2 weeks of harvest. If he has to pay $ x3 rent every week how much money will have at the end of the harvest season?
493,Paul had x1 books and x2 pens. After selling some books and pens in a garage sale he had x3 books and x4 pens left. how many pens did he sell in the garage sale?
494,Zachary did x1 push-ups and x2 crunches in gym class today. David did x3 more push-ups but x4 less crunches than zachary. how many crunches did david do?
495,Paul had x1 pens and x2 books. After selling some books and pens in a garage sale he had x3 books and x4 pens left. how many pens did he sell in the garage sale?
496,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many more bottle caps than wrappers does danny have now?
497,Dan has $ x1. He bought x2 candy bar for $ x3 each one costing the same amount of money. how much money is left?
498,x1 children were riding on the bus. At the bus stop x2 children got off the bus while some more got on the bus. Then there were x3 children altogether on the bus. how many more children got on the bus than those that got off?
499,Debby bought x1 soda bottles and x2 water bottles when they were on sale. If she drank x3 water bottles and x4 soda bottles a day how many days would the water bottles last?
500,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in some cups of flour. If she still needs x3 more cups of flour than sugar how many cups of flour did she put in?
501,Faye had x1 packs of pencils each one having <x3> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makeFaye had x1 packs of pencils each one having <<3>> pencils. She was placing her pencils into rows with 2 pencils in each row. how many rows could she makex2?
502,Each Ferris wheel in paradise park has x1 seats. Each seat in a Ferris wheel can hold x2 people. how many people can ride x3 ferris wheels at the same time?
503,Bobby had x1 pieces of candy. He ate x2 pieces of candy. how many pieces of candy does he still have left?
504,Bobby had x1 pieces of candy. He ate x2 pieces of candy. Then he ate x3 more. how many pieces of candy did bobby eat?
505,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace that day. If there were x2 visitors the previous day and x3 visitors the day before that how many more visitors visited the buckingham palace on that day than on the previous x4 days?"
506,Paul had x1 books and x2 pens. After selling some books and pens in a garage sale he had x3 books and x4 pens left. how many books did he sell in the garage sale?
507,Marco and his dad went strawberry picking. Marco's dad's strawberries weighed x1 pounds. If together their strawberries weighed x2 pounds. how much did marco's strawberries weigh?
508,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many kids did she play with on monday and wednesday?"
509,Marco and his dad went strawberry picking. Marco's strawberries weighed x1 pounds. If together their strawberries weighed x2 pounds. how much did his dad's strawberries weigh?
510,Shirley sold x1 boxes of trefoils. how many boxes are in each case if she needs to deliver x2 cases of boxes?
511,Paul got a box of x1 crayons and x2 erasers for his birthday. At the end of the school year he only had x3 left while not having lost a single erasers. how many crayons had been lost or given away?
512,David did x1 more push-ups than Zachary in gym class today. If David did x2 push-ups how many push-ups did zachary and david do altogether?
513,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many more wrappers than bottle caps does danny have now?
514,Tiffany was collecting cans for recycling. On monday she had x1 bags of cans. She found x2 bags of cans on the next day and x3 bags of cans the day after that. how many bags did she find after monday?
515,Faye was placing her pencils into rows with x1 pencils in each row. She had x2 packs of pencils each one having x3 pencils. how many rows could she make?
516,x1 birds and x2 storks were sitting on the fence. x3 more storks came to join them. how many more storks than birds are sitting on the fence?
517,Jessie weighed x1 kilograms. After she started to go jogging everyday she lost x2 kilograms in the first week and x3 kilograms in the second week. how much does she weigh now?
518,x1 packs of dvds can be bought with x2 dollars. how much does each pack cost?
519,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many more kids did she play with on monday than on wednesday?"
520,"There were x1 parents, x2 pupils and x3 teachers in the program. how many people were present in the program?"
521,At the stop x1 more people got on the train. Initially there were x2 people on the train. how many people are there on the train now?
522,Frank had x1 pieces of candy. He lost x2 of them. If he put the remaining pieces into bags with x3 pieces in each bag how many bags would he have?
523,Bryan took a look at his books as well. If he has x1 books distributed equally in x2 bookshelves how many books are there in each bookshelf?
524,A waiter had x1 customers. After some more arrived he had x2 customers. how many new customers arrived?
525,Brenda's mother made cookies for guests. If she prepared x1 cookies and each of them had x2 cookies how many guests did she prepare cookies for?
526,"They decided to hold the party in their backyard. They have some sets of tables, each having the x1 chairs. If there are a total of x2 chairs in the backyard how many sets of tables do they have?"
527,Luke played a trivia game and scored x1 points. If he gained the x2 points in each round how many rounds did he play?
528,"Jack received x1 emails in the afternoon, x2 emails in the morning and some more in the evening. If he received a total of x3 emails in the day how many emails did jack receive in the evening?"
529,There are x1 baskets of peaches. Each basket has x2 red peaches and x3 green peaches. how many peaches are in each basket?
530,The school is planning a field trip. The school has x1 classrooms. There are x2 students in the school and x3 seats on each school bus. If x4 students do n't want to go for the trip how many students are going on the trip?
531,Jesse's room is x1 feet long and x2 feet wide. If she already has x3 square feet of carpet how much more carpet does she need to cover the whole floor?
532,Jake has x1 fewer peaches and x2 more apples than Steven. Steven has x3 peaches and x4 apples. how many more peaches than apples does steven have?
533,Danny collects bottle caps. He threw away x1 of the old ones at the park while he found x2 bottle caps new ones. Now he has x3 bottle caps in his collection. how many bottle caps did danny have at first?
534,Nell collects baseball cards. She had x1 cards. She gave x2 cards to John and yet some more to Jeff. Now she has x3 cards left. how many cards did nell give to jeff?
535,Next on his checklist is wax to stick the feathers together. If he currently has x1 g of wax and the feathers require a total of x2 g of wax how many more grams of wax does he need?
536,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. x2 bird families flew away for winter and x3 new bird families came to live near the mountain from the arctic. how many bird families were left near the mountain?
537,Steven has x1 peaches. Jake has x2 fewer peaches than Steven and x3 more peaches than Jill. how many peaches does jake have?
538,Josh had some marbles in his collection. He lost x1 marbles. If he has x2 marbles now how many marbles did he have in his collection?
539,He had x1 aquariums for saltwater animals and x2 aquariums for freshwater animals. Each aquarium has x3 animals in it. how many animals does he have in total?
540,Jessie currently weighs x1 kilograms. After she started to go jogging everyday she lost x2 kilograms. how much did she weigh before starting to jog?
541,Dan has $ x1 left with him after he bought a candy bar for $ x2. how much money did he have initially?
542,Zachary did x1 push-ups and x2 crunches in gym class today. David did x3 more push-ups but x4 less crunches than zachary. how many push-ups and crunches did zachary do?
543,A book has x1 chapters. The first chapter is x2 pages long the second chapter is x3 pages long and the third chapter is x4 pages long. how many more pages does the first chapter have than the second chapter?
544,Danny collects bottle caps. He found x1 bottle caps at the park while he threw away x2 old ones. Now he has x3 bottle caps in his collection. how many more bottle caps did danny find at the park than those he threw away?
545,Dan has $ x1. For a total of $ x2 he bought x3 candy bar each one costing the same amount of money. how much money is left?
546,Mary is baking a cake. The recipe calls for x1 cups of sugar and <x3> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar and <<3>> cups of flour. She already put in 2 cups of flour. how many more cups of flour than cups of sugar does she need to add nowx2?
547,"At the zoo, a cage had x1 snakes and x2 alligators. If x3 snakes were hiding how many snakes were not hiding?"
548,Emily is making bead necklaces for her friends. She was able to make x1 necklaces and she had x2 beads. how many beads did each necklace need?
549,Tiffany was collecting cans for recycling. On monday she had x1 bags of cans. The next day she found x2 more bags of cans and x3 bags of bottles. how many bags of cans did she have altogether?
550,Robin has some packages of gum. There are x1 pieces in each package. Robin has x2 extra pieces of gum. In all the number of pieces of gums robin has is x3. how many packages does robin have?
551,Baker made x1 cakes. If his friend bought x2 cakes from him how many cakes would baker still have?
552,x1 children were riding on the bus. At the bus stop some more children got on the bus. Then there were x2 children altogether on the bus. how many more children are on the bus now than there were before the bus stop?
553,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many bottle caps did danny have at first?
554,For the walls of the house he would use x1 large planks of wood. If each plank of wood needs x2 pieces of nails to be secured how many planks does john need for the house wall?
555,Paco ate x1 cookies. If he had x2 cookies initially how many cookies did paco have left?
556,Bobby had x1 pieces of candy. He ate x2 pieces of candy. Then he ate x3 more. how many pieces of candy does he still have left?
557,Baker made x1 cakes. He sold some of them. If he still has x2 cakes left how many cakes did baker sell?
558,During summer break x1 kids from Lawrence county go to camp and the other x2 kids stay home. how many more kids spent their summer break at the camp compared to those who stayed home?
559,Randy has x1 blocks. He uses x2 blocks to build a tower and x3 blocks to build a house. how many blocks are left?
560,"Every day Ryan spends x1 hours on learning english x2 hours on learning chinese and x3 hours on learning spanish. how many hours does he spend on learning english, chinese and spanish in all?"
561,x1 birds were sitting on the fence. Some more birds came to join them. If there are a total of x2 birds on the fence now how many more birds had come to sit on the fence?
562,In a school there are x1 girls and the rest are boys. If there are x2 more boys than girls how many boys are there in that school?
563,Jesse's room is x1 feet long and x2 feet wide. how much longer is her room than it is wide?
564,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more books than movies are there in the ' crazy silly school ' series?
565,You had x1 bags with equal number of cookies. If you had x2 cookies and x3 candies in total how many bags of cookies do you have?
566,Jerry had x1 action figures and x2 books on a shelf in his room. Later he added x3 more action figures to the shelf. how many more books than action figures were on his shelf?
567,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in some cups of flour. If she still needs x3 more cups of flour how many cups of flour did she put in?
568,"Rachel had to complete x1 pages of math homework, x2 pages of reading homework and x3 more pages of biology homework. how many pages of math and reading homework did she have to complete?"
569,Paige was helping her mom plant flowers in x1 flowerbeds. They planted x2 seeds altogether. If they put same number of seeds in each flower bed how many seeds did they plant in each flowerbed?
570,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of unripe oranges and x2 sacks of ripe oranges per day. how many sacks of ripe oranges will they have after x3 days of harvest?
571,Paul had x1 books. After giving x2 books to his friend and selling some books in a garage sale he had x3 books left. how many books did he sell in the garage sale?
572,Paco had x1 salty cookies and x2 sweet cookies. He ate x3 sweet cookies and x4 salty cookies. how many sweet cookies did paco have left?
573,The school is planning a field trip. The school has x1 classrooms. x2 school buses are fully filled with x3 seats on each school bus. how many students are in the school?
574,Faye was placing her pencils and crayons into x1 rows with x2 crayons and x3 pencils in each row. how many pencils does she have?
575,Faye was placing x1 pencils equally into x2 rows. how many pencils did she place in each row?
576,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many more kids did she play with on monday and tuesday than on wednesday?"
577,Baker made x1 cakes. If he sold x2 of them how many more cakes did baker make than those he sold?
578,There are x1 bananas in Philip's banana collection. If the bananas are organized into groups of size x2 how many groups are there?
579,Olivia spent x1 dollars at a supermarket. If there were x2 dollars in her wallet initially how much money does she have left?
580,Baker sold x1 cakes. If he had made x2 cakes initially how many cakes would baker still have?
581,Every day Ryan spends x1 hours on learning chinese and some more hours on learning english. If he spends x2 hours more on learning english than on learning chinese how many hours does he spend on learning english?
582,Rachel had to complete x1 pages of math homework. If she had to complete x2 more pages of math homework than reading homework how many pages did she have to complete in all?
583,Dan has $ x1. He bought a chocolate for $ x2 and a candy bar for $ x3. how much money did he spend to buy candy bar than he did to buy chocolate?
584,Jessie weighed x1 kilograms. After she started to go jogging everyday she lost x2 kilograms in the first week and x3 kilograms in the second week. how much did she weigh after the first week of jogging?
585,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many kids did she play with on tuesday and wednesday?"
586,x1 children were riding on the bus. At the bus stop x2 children got off the bus while some more got on the bus. Then there were x3 children altogether on the bus. how many children got on the bus at the bus stop?
587,Baker made x1 cakes. Then he made x2 more cakes. He sold x3 of them. how many cakes would baker still have?
588,Paul got a box of some crayons for his birthday. By the end of the school year he only had x1 crayons left since he had either lost or given away x2 of them. how many crayons did he get for his birthday?
589,Jack received x1 emails and x2 letters in the morning. He then received x3 emails and x4 letters in the afternoon. how many letters did jack receive in the day?
590,Lewis earns $ x1 every week during the x2 weeks of harvest. If he has to pay $ x3 rent every week how much money does he earn during harvest season?
591,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and that each sack containes x2 oranges. how many days will it take to harvest x3 sacks of oranges?
592,Robin has some packages of gum. There are x1 pieces in each package and a total of x2 pieces of gum. how many packages does robin have?
593,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ x1 by selling x2 t-shirts. what is the cost of each t-shirt?
594,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped x2 inches farther than the grasshopper and the mouse jumped x3 inches lesser than the frog. how far did the mouse jump?"
595,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and discard x2 of them. how many oranges do they harvest per day if each sack contains x3 oranges?
596,Jesse's room is x1 feet wide. If she needs a carpet of size x2 square feet what is the length of her room?
597,Every day Ryan spends x1 hours on learning english and <x3> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allEvery day Ryan spends x1 hours on learning english and <<3>> hours on learning chinese. If he learns for 2 days how many hours does he spend on learning english in allx2?
598,Ed had x1 more marbles than Doug. Doug lost x2 of his marbles at the playground. If Ed had x3 marbles how many more marbles did ed have than doug then?
599,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <x3> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftCarol was sending out birthday invitations to her friends. Each package of invitations she bought had x1 invitations in it and she bought <<3>> packs. If she sends invitations to only 2 friends how many invitations will be leftx2?
600,Rachel's tree had x1 apples initially. She picked some apples and now there are x2 apples left on the tree. how many apples did rachel pick?
601,Bobby ate x1 pieces of candy. Then he ate x2 more. He also ate x3 pieces of chocolate. how many pieces of candy did bobby eat?
602,The Razorback shop makes $ x1 dollars off each jersey and $ x2 off each t-shirt. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much more does a jersey cost than a t-shirt?
603,Bobby had x1 pieces of candy. He ate some pieces of candy. Then he ate x2 more. If he still has x3 pieces of candy left how many pieces of candy had he eaten at the start?
604,If each pack costs x1 dollars how much will it cost to buy x2 packs of dvds?
605,There were x1 parents in the program and x2 pupils too. The program could seat x3 people how many people were present in the program?
606,Every day Ryan spends x1 hours on learning english and x2 hours on learning chinese. If he learns for x3 days how many hours does he spend on learning english and chinese each day?
607,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many more cakes than pastries did baker make?
608,At the arcade Dave had won x1 tickets. If he used x2 to buy some toys and x3 more to buy some clothes how many more tickets did dave use to buy toys than he did to buy clothes?
609,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 apples. how many bottles did they have total?"
610,There are x1 baskets of peaches. Each basket has x2 red peaches and x3 green peaches. how many peaches are in the baskets altogether?
611,Paul got a box of x1 crayons for his birthday. During the school year he gave x2 crayons to his friends while he lost x3 crayons. how many crayons did he have left?
612,Some campers went rowing in the morning while x1 campers went rowing in the afternoon. If a total of x2 campers went rowing that day how many campers went rowing in the morning?
613,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and discard x2 of them. how many sacks of oranges will they have after x3 days of harvest?
614,Next on his checklist is wax to stick the feathers together. If he has x1 g of wax and right now he just needs x2 g total how many grams of wax do the feathers require?
615,Jerry had x1 books and <x3> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more books than action figures were on his shelfx2?
616,Matthew gave x1 crackers to each his friends. If he had x2 crackers how many friends did he give crackers to?
617,Katie had x1 new games and x2 old games. Her friends had x3 new games. how many more games does katie have than her friends?
618,x1 children were riding on the bus. At the bus stop x2 more children got on the bus. how many children are on the bus now?
619,Josh had x1 marbles in his collection. He found x2 marbles. how many marbles does he have now?
620,Jake brought x1 balloons to the park. If Jake brought x2 more balloons than the number of balloons that Allan brought how many balloons did allan bring to the park?
621,At the arcade Dave had won x1 tickets and lost x2 tickets. If he used x3 to buy some toys how many tickets did dave have left?
622,During summer break x1 kids from Lawrence county go to camp and the other x2 kids stay home. An additional x3 kids from outside the county attended the camp. about how many kids are in lawrence county?
623,Edward had $ x1. He spent $ x2. how much money does edward have now?
624,For Gwen's birthday she received x1 dollars from her dad. Her mom gave her x2 more dollars. If she spent x3 dollars. how much more money did she receive from her dad than she did from her mom?
625,Robin's hair was x1 inches long. It grew by x2 inches. Then he cut off x3 inches. how long is his hair now?
626,Edward spent $ x1 to buy x2 books each book costing him the same amount of money. Now he has $ x3. how much did edward have before he spent his money?
627,During summer break x1 kids from Lawrence county go to camp and the other x2 kids stay home. An additional x3 kids from outside the county attended the camp. how many kids in total attended the camp?
628,Baker made x1 cakes and x2 pastries. If he sold x3 pastries and x4 cakes how many more cakes than pastries did baker sell?
629,"After a typhoon, x1 trees in Haley's backyard died. If she had grown x2 trees initially how many trees does she have left?"
630,Paco had x1 sweet cookies and x2 salty cookies. He ate x3 sweet cookies and x4 salty cookies. how many more salty cookies than sweet cookies did he eat?
631,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 apples. how many more bottles of regular soda than diet soda did they have?"
632,Carol was sending out birthday invitations to x1 friends. She bought x2 packs each one having the same number of invitations. how many invitations are in each pack?
633,Jake has x1 fewer peaches and x2 more apples than Steven. Steven has x3 peaches and x4 apples. how many apples does jake have?
634,Josh had x1 marbles in his collection. Jack gave him x2 marbles. how many marbles does josh have now?
635,Faye had x1 packs of pencils each one having x2 pencils. She was placing her pencils into rows with x3 pencils in each row. how many pencils does she have?
636,Jake has x1 more apples and x2 fewer peaches than Steven. Steven has x3 peaches and x4 apples. how many peaches does jake have?
637,Rebecca wants to split a collection of eggs into x1 groups. Rebecca has x2 eggs and x3 marbles. how many eggs will each group have?
638,Jack received x1 emails and sent x2 letters in the morning. He then received x3 emails and sent x4 letters in the afternoon. how many emails did jack send in the day?
639,"Rachel had to complete x1 pages of math homework, x2 pages of reading homework and x3 more pages of biology homework. how many more pages of reading homework than biology homework did she have?"
640,Dan has $ x1. He bought some candy bar for $ x2 each one costing $ x3. how many candy bar did he buy?
641,"Lucy went to the grocery store. She bought x1 packs of cookie, x2 packs of cake and x3 packs of chocolate. how many packs of groceries did she buy in all?"
642,The school has x1 grades and each grade has x2 students how many students were there in total?
643,The cave is x1 feet deep and they are already at x2 feet. If they are travelling at speed of x3 how much farther until they reach the end of the cave?
644,Bobby had x1 pieces of candy. He ate some pieces of candy. If he has x2 pieces of candy left how many pieces of candy did bobby eat?
645,Baker sold x1 cakes. If he had made x2 cakes initially how many more cakes did baker make than those he sold?
646,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace that day. If there were x2 visitors the previous day and x3 visitors the day before that how many visited the buckingham palace before that day?"
647,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace on the previous day. If there were x2 visitors on that day how many more visitors visited the buckingham palace on that day than on the previous day?"
648,In Haley's class x1 are boys who love to play marbles. If Haley has x2 marbles and wants to keep x3 marbles for herself how many will each of the boys receive?
649,Matthew had x1 crackers and x2 cakes. If Matthew gave equal numbers of crackers and cakes to his x3 friends how many crackers did each person eat?
650,Rachel has x1 apple trees. She picked x2 apples from each of her trees. Now the trees have a total x3 apples still on them. how many apples were there on all trees initially?
651,Mary is baking a cake. The recipe calls for x1 cups of flour and x2 cups of sugar. She already put in x3 cups of flour. how many more cups of sugar than cups of flour does she need to add now?
652,The school is planning a field trip. The school has x1 classrooms. There are x2 school buses and a total of x3 students in the school. If all buses are full how many seats are in each bus?
653,For Gwen's birthday she received some dollars. She spent x1 dollars and has x2 dollars left with her. how much money did gwen receive for her birthday?
654,Danny collects bottle caps. He lost x1 bottle caps at the park. Now he has x2 bottle caps in his collection. how many bottle caps did danny have at first?
655,Jake has x1 fewer peaches than Steven. Steven has x2 more peaches than Jill. If jill has x3 peaches how many peaches does jake have?
656,During summer break x1 kids from Lawrence county stay home and the other x2 kids go to camp. about how many kids are in lawrence county?
657,Jerry had x1 action figures and x2 books on a shelf in his room. Later he added x3 more books to the shelf. how many books were on his shelf in all?
